#Flux units are: #nu/POT/m^2/MeV
#Energy Flux
0.0 0.0
25.0 1.35674790068e-12
75.0 2.8595902826e-12
125.0 4.89932195383e-12
175.0 3.87902992354e-12
225.0 2.78982511204e-12
275.0 2.47905056307e-12
325.0 2.73175644089e-12
375.0 3.11789394123e-12
425.0 2.54480840815e-12
475.0 2.08978162738e-12
525.0 2.32860030862e-12
575.0 2.35812400828e-12
625.0 2.35948298973e-12
675.0 1.95233154743e-12
725.0 2.00642063464e-12
775.0 1.61571514724e-12
825.0 1.82013097726e-12
875.0 1.70682768818e-12
925.0 1.74357425672e-12
975.0 1.61019458329e-12
1025.0 1.53799169227e-12
1075.0 1.49569770174e-12
1125.0 1.48725314546e-12
1175.0 1.31926061568e-12
1225.0 1.25058911508e-12
1275.0 1.12708719238e-12
1325.0 1.20462679347e-12
1375.0 1.1818124794e-12
1425.0 1.19156371462e-12
1475.0 1.26624231609e-12
1525.0 1.07999524284e-12
1575.0 9.12983649935e-13
1625.0 9.1880247948e-13
1675.0 7.80927265032e-13
1725.0 7.99155745599e-13
1775.0 7.57707076511e-13
1825.0 6.34592916752e-13
1875.0 5.7664992178e-13
1925.0 8.01906750949e-13
1975.0 6.2989063951e-13
2025.0 7.49862850419e-13
2075.0 5.41563162393e-13
2125.0 5.25187709838e-13
2175.0 4.9450045631e-13
2225.0 4.80969968068e-13
2275.0 4.04386389489e-13
2325.0 4.07577902023e-13
2375.0 3.61163764578e-13
2425.0 3.72348150082e-13
2475.0 3.17800863839e-13
2525.0 3.21810309686e-13
2575.0 3.23839394795e-13
2625.0 2.86110542058e-13
2675.0 3.08231605079e-13
2725.0 3.11079330293e-13
2775.0 2.40720080226e-13
2825.0 2.26097733174e-13
2875.0 2.08557489864e-13
2925.0 2.01482627326e-13
2975.0 1.58941282202e-13
3025.0 2.64606220015e-13
3075.0 1.38801849933e-13
3125.0 1.39803327907e-13
3175.0 1.36195604114e-13
3225.0 1.20618062822e-13
3275.0 1.16534911977e-13
3325.0 1.09756658493e-13
3375.0 1.06017703581e-13
3425.0 9.81070612696e-14
3475.0 1.49974650698e-13
3525.0 6.7613860388e-14
3575.0 6.89775740184e-14
3625.0 6.75543188096e-14
3675.0 4.92134916832e-14
3725.0 5.716796605e-14
3775.0 5.25260034385e-14
3825.0 4.75058195571e-14
3875.0 4.18638339663e-14
3925.0 4.11387690596e-14
3975.0 3.84542793222e-14
4025.0 3.21051277422e-14
4075.0 2.96982548244e-14
4125.0 2.62317925009e-14
4175.0 2.46777727657e-14
4225.0 2.31506110698e-14
4275.0 2.37445332067e-14
4325.0 2.02791545366e-14
4375.0 2.17329135536e-14
4425.0 1.31712564452e-14
4475.0 1.34697719006e-14
4525.0 1.2208313739e-14
4575.0 1.32216304538e-14
4625.0 1.15171416458e-14
4675.0 7.99923615505e-15
4725.0 9.50163947651e-15
4775.0 1.02066271154e-14
4825.0 5.0168939235e-15
4875.0 5.29537041853e-15
4925.0 4.9035789779e-15
4975.0 3.58591440562e-15
5025.0 5.06266654641e-15
5075.0 3.13592559997e-15
5125.0 3.33329546855e-15
5175.0 2.77139132126e-15
5225.0 2.2697622891e-15
5275.0 2.39418278407e-15
5325.0 1.3578713925e-15
5375.0 9.44405675696e-16
5425.0 1.55061416454e-15
5475.0 1.27064324588e-15
5525.0 7.37615959999e-16
5575.0 7.69992866637e-16
5625.0 6.00989610556e-16
5675.0 5.2152183734e-16
5725.0 7.74676130248e-16
5775.0 3.2359666109e-16
5825.0 1.27078293019e-16
5875.0 5.22227765066e-17
5925.0 2.24076511282e-16
5975.0 4.77983203477e-17
6025.0 1.43680277453e-17
6075.0 1.57593144881e-16
6125.0 9.86313232144e-17
6175.0 5.58772164606e-17
6225.0 4.46333740176e-17
6275.0 1.75479487248e-17
6325.0 1.15003298222e-17
6375.0 1.91297397534e-17
6425.0 0.0
6475.0 1.24121225774e-17
6525.0 0.0
6575.0 0.0
6625.0 2.21906225162e-18
6675.0 0.0
6725.0 0.0
6775.0 0.0
6825.0 0.0
6875.0 0.0
6925.0 8.84833128836e-18
6975.0 0.0
7025.0 0.0
7075.0 0.0
7125.0 0.0
7175.0 0.0
7225.0 0.0
7275.0 0.0
7325.0 0.0
7375.0 0.0
7425.0 0.0
7475.0 0.0
7525.0 0.0
7575.0 0.0
7625.0 0.0
7675.0 0.0
7725.0 0.0
7775.0 0.0
7825.0 0.0
7875.0 0.0
7925.0 0.0
7975.0 0.0
8025.0 0.0
8075.0 0.0
8125.0 0.0
8175.0 0.0
8225.0 0.0
8275.0 0.0
8325.0 0.0
8375.0 0.0
8425.0 0.0
8475.0 0.0
8525.0 0.0
8575.0 0.0
8625.0 0.0
8675.0 0.0
8725.0 0.0
8775.0 0.0
8825.0 0.0
8875.0 0.0
8925.0 0.0
8975.0 0.0
9025.0 0.0
9075.0 0.0
9125.0 0.0
9175.0 0.0
9225.0 0.0
9275.0 0.0
9325.0 0.0
9375.0 0.0
9425.0 0.0
9475.0 0.0
9525.0 0.0
9575.0 0.0
9625.0 0.0
9675.0 0.0
9725.0 0.0
9775.0 0.0
9825.0 0.0
9875.0 0.0
9925.0 0.0
